x,y,height,momentum_x,bathymetry
0.5,0.5,21.97409,224.4407,0
1.5,0.5,21.9734,224.4438,0
2.5,0.5,21.96728,224.471,0
3.5,0.5,21.96116,224.4983,0
4.5,0.5,21.95511,224.5253,0
5.5,0.5,21.94915,224.5517,0
6.5,0.5,21.94337,224.5774,0
7.5,0.5,21.93779,224.6021,0
8.5,0.5,21.93248,224.6256,0
9.5,0.5,21.92747,224.6478,0
10.5,0.5,21.9228,224.6684,0
11.5,0.5,21.91848,224.6875,0
12.5,0.5,21.91453,224.7049,0
13.5,0.5,21.91097,224.7206,0
14.5,0.5,21.90779,224.7345,0
15.5,0.5,21.90499,224.7469,0
16.5,0.5,21.90255,224.7576,0
17.5,0.5,21.90045,224.7668,0
18.5,0.5,21.89867,224.7747,0
19.5,0.5,21.89717,224.7812,0
20.5,0.5,21.89593,224.7867,0
21.5,0.5,21.89492,224.7911,0
22.5,0.5,21.89412,224.7946,0
23.5,0.5,21.89347,224.7974,0
24.5,0.5,21.89297,224.7996,0
25.5,0.5,21.89259,224.8013,0
26.5,0.5,21.8923,224.8026,0
27.5,0.5,21.89209,224.8035,0
28.5,0.5,21.89194,224.8042,0
29.5,0.5,21.89183,224.8046,0
30.5,0.5,21.89176,224.8049,0
31.5,0.5,21.89172,224.8051,0
32.5,0.5,21.89169,224.8052,0
33.5,0.5,21.89168,224.8053,0
34.5,0.5,21.89168,224.8053,0
35.5,0.5,21.89168,224.8053,0
36.5,0.5,21.89167,224.8053,0
37.5,0.5,21.89166,224.8054,0
38.5,0.5,21.89166,224.8054,0
39.5,0.5,21.89165,224.8054,0
40.5,0.5,21.89165,224.8055,0
41.5,0.5,21.89164,224.8055,0
42.5,0.5,21.89164,224.8055,0
43.5,0.5,21.89163,224.8055,0
44.5,0.5,21.89163,224.8055,0
45.5,0.5,21.89162,224.8056,0
46.5,0.5,21.89161,224.8056,0
47.5,0.5,21.89161,224.8056,0
48.5,0.5,21.89161,224.8056,0
49.5,0.5,21.8916,224.8057,0
50.5,0.5,21.8916,224.8057,0
51.5,0.5,21.89159,224.8057,0
52.5,0.5,21.89158,224.8058,0
53.5,0.5,21.89158,224.8058,0
54.5,0.5,21.89157,224.8058,0
55.5,0.5,21.89157,224.8058,0
56.5,0.5,21.89157,224.8059,0
57.5,0.5,21.89156,224.8059,0
58.5,0.5,21.89156,224.8059,0
59.5,0.5,21.89155,224.8059,0
60.5,0.5,21.89155,224.8059,0
61.5,0.5,21.89155,224.8059,0
62.5,0.5,21.89154,224.806,0
63.5,0.5,21.89154,224.806,0
64.5,0.5,21.89153,224.806,0
65.5,0.5,21.89153,224.8061,0
66.5,0.5,21.89152,224.8061,0
67.5,0.5,21.89152,224.8061,0
68.5,0.5,21.89151,224.8061,0
69.5,0.5,21.89151,224.8061,0
70.5,0.5,21.8915,224.8062,0
71.5,0.5,21.8915,224.8062,0
72.5,0.5,21.89149,224.8062,0
73.5,0.5,21.89149,224.8063,0
74.5,0.5,21.89148,224.8063,0
75.5,0.5,21.89148,224.8063,0
76.5,0.5,21.89148,224.8064,0
77.5,0.5,21.89147,224.8064,0
78.5,0.5,21.89147,224.8064,0
79.5,0.5,21.89146,224.8064,0
80.5,0.5,21.89146,224.8064,0
81.5,0.5,21.89145,224.8065,0
82.5,0.5,21.89145,224.8065,0
83.5,0.5,21.89145,224.8065,0
84.5,0.5,21.89145,224.8065,0
85.5,0.5,21.89144,224.8065,0
86.5,0.5,21.89144,224.8066,0
87.5,0.5,21.89143,224.8066,0
88.5,0.5,21.89143,224.8066,0
89.5,0.5,21.89142,224.8067,0
90.5,0.5,21.89142,224.8067,0
91.5,0.5,21.89141,224.8067,0
92.5,0.5,21.89141,224.8067,0
93.5,0.5,21.89141,224.8067,0
94.5,0.5,21.89141,224.8067,0
95.5,0.5,21.89141,224.8067,0
96.5,0.5,21.8914,224.8067,0
97.5,0.5,21.8914,224.8067,0
98.5,0.5,21.8914,224.8068,0
99.5,0.5,21.8914,224.8068,0
